HCP_ID,sum,count,mean
pr045,62591,10,6259.1
n048,54994,9,6110.444444444444
pr037,51416,10,5141.6
n008,47838,11,4348.909090909091
n020,47167,9,5240.777777777777
n022,46710,11,4246.363636363636
n027,46333,10,4633.3
n030,45893,11,4172.090909090909
n037,45750,11,4159.090909090909
n045,45652,10,4565.2
n039,45610,12,3800.8333333333335
n050,45305,10,4530.5
n021,45116,10,4511.6
n026,43162,13,3320.153846153846
n032,43116,11,3919.6363636363635
n033,43094,10,4309.4
n036,42942,12,3578.5
n046,42270,9,4696.666666666667
n035,42230,11,3839.090909090909
n004,41024,10,4102.4
n009,40694,10,4069.4
n042,40629,10,4062.9
n043,40064,9,4451.555555555556
n034,38797,9,4310.777777777777
pr017,36662,7,5237.428571428572
n038,36340,11,3303.6363636363635
n044,36289,12,3024.0833333333335
n014,35832,6,5972.0
n005,35475,12,2956.25
n049,34831,9,3870.1111111111113
n019,34071,8,4258.875
n028,34019,9,3779.8888888888887
n031,33729,10,3372.9
n047,32653,10,3265.3
pr025,32012,8,4001.5
n017,32008,12,2667.3333333333335
n007,31756,11,2886.909090909091
n001,30410,11,2764.5454545454545
n040,30395,10,3039.5
n023,29647,11,2695.181818181818
n018,29574,8,3696.75
n016,27874,9,3097.1111111111113
n003,27129,10,2712.9
n041,26247,8,3280.875
ss024,25823,8,3227.875
n002,25484,6,4247.333333333333
n013,24820,5,4964.0
n012,23320,6,3886.6666666666665
n024,23190,8,2898.75
ss027,22676,10,2267.6
pr012,22484,6,3747.3333333333335
pr034,21049,5,4209.8
n015,20332,7,2904.5714285714284
ss029,20169,5,4033.8
ss010,17917,5,3583.4
pr032,17524,6,2920.6666666666665
ss044,17517,10,1751.7
ss043,16508,9,1834.2222222222222
pr009,16359,3,5453.0
pr030,15546,4,3886.5
ss034,15435,8,1929.375
ss039,15308,6,2551.3333333333335
ss004,14748,8,1843.5
pr007,14189,2,7094.5
pr029,13805,4,3451.25
pr041,13611,3,4537.0
pr043,13223,5,2644.6
ss023,12908,4,3227.0
pr038,12827,5,2565.4
ss041,12396,7,1770.857142857143
pr001,11223,4,2805.75
pr040,10913,4,2728.25
pr010,10307,4,2576.75
ss047,10170,2,5085.0
pr016,10009,2,5004.5
pr046,9858,2,4929.0
pr019,9855,4,2463.75
pr018,9657,5,1931.4
pr002,9603,3,3201.0
n011,9545,4,2386.25
pr033,9360,3,3120.0
ss017,9184,7,1312.0
pr006,8997,4,2249.25
ss011,8292,5,1658.4
ss022,8045,3,2681.6666666666665
pr020,7585,3,2528.3333333333335
ss049,7574,6,1262.3333333333333
ss031,7328,5,1465.6
pr050,6440,4,1610.0
pr005,6318,4,1579.5
ss048,6189,7,884.1428571428571
n010,6165,4,1541.25
pr022,5858,4,1464.5
pr044,5493,3,1831.0
ss030,4630,4,1157.5
n029,4416,2,2208.0
ss009,4287,4,1071.75
pr035,4285,3,1428.3333333333333
pr014,3994,3,1331.3333333333333
pr003,3927,2,1963.5
ss038,3787,2,1893.5
pr024,3003,1,3003.0
ss036,2742,2,1371.0
pr023,2686,2,1343.0
pr004,2659,3,886.3333333333334
ss046,2494,3,831.3333333333334
pr015,2334,2,1167.0
pr048,1574,1,1574.0
ss007,1387,2,693.5
pr036,1058,1,1058.0
pr027,721,1,721.0
ss016,89,1,89.0
