HCP_ID,Event_Count
n039,2836
n035,6019
n047,5402
n008,6013
n015,5116
n003,3562
n030,5601
pr001,2398
n031,3197
n026,270
pr037,5048
n044,3606
n036,6509
n040,8205
n013,5349
n046,7883
n041,8114
n048,5022
n033,5282
n043,5314
ss044,975
n016,1887
pr027,721
pr040,1910
n042,5744
n032,5361
n009,3804
n005,32
n037,5404
n007,2216
n034,6808
n020,3746
n050,3782
ss024,1170
pr032,3691
pr014,3222
n017,3169
n038,5359
ss017,1498
n027,6207
ss004,1569
n001,3497
pr023,277
pr041,3302
pr025,3986
n049,1973
ss027,1655
ss046,79
pr012,2606
n021,1616
pr035,928
n045,1902
ss034,1655
ss023,10
pr050,527
