Anchor_ID,Cluster_Frequency
b004,4034
b083,1792
b106,1772
b138,1718
b142,1715
b031,1353
b079,752
b001,400
b098,313
b097,312
b139,280
b096,279
b082,269
b069,256
b128,229
b095,208
b166,204
b099,203
b143,134
b165,124
b062,89
b158,75
b171,71
b102,70
b100,69
b091,66
b126,63
b145,61
b127,61
b032,59
b023,59
b087,53
b108,52
b074,51
b085,49
b081,48
b070,45
b162,44
b167,41
b015,39
b141,36
b073,35
b024,34
b157,33
b076,29
b105,27
b150,23
b030,21
b028,20
b131,19
b033,18
b080,16
b144,16
b155,16
b136,15
b056,14
b137,14
b163,14
b077,14
b161,14
b160,13
b169,12
b002,12
b036,11
b071,11
b038,10
b094,10
b072,10
b065,10
b088,10
b140,10
b159,6
b006,6
b025,6
b068,5
b154,4
b092,1
